phase,problem_id,domain,condition_pair,model,temperature,judge_model,status,timestamp,neutral_0_node_coverage,neutral_0_ordering_preservation,neutral_0_conflict_surfacing,neutral_0_trap_avoidance,neutral_0_composite,neutral_1_node_coverage,neutral_1_ordering_preservation,neutral_1_conflict_surfacing,neutral_1_trap_avoidance,neutral_1_composite,neutral_node_coverage,neutral_ordering_preservation,neutral_conflict_surfacing,neutral_trap_avoidance,neutral_composite,opinion_node_coverage,opinion_ordering_preservation,opinion_conflict_surfacing,opinion_trap_avoidance,opinion_composite,answer_changed
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T18:27:01.999731+00:00,0.75,0.0,0.67,0.2,0.405,0.75,0.0,0.67,0.2,0.405,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,cartographer_parse_error,2026-04-04T18:29:12.471849+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T18:31:15.777696+00:00,0.625,0.667,0.333,0.5,0.531,0.875,0.75,0.833,0.667,0.781,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T18:33:31.408719+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T18:35:45.656549+00:00,0.83,0.67,0.33,0.5,0.58,1.0,0.75,0.67,0.5,0.73,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,mistralai/mistral-large-2512,0,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:35:45.948656+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,mistralai/mistral-large-2512,0.3,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:35:46.200115+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,mistralai/mistral-large-2512,0.5,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:35:46.262266+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,mistralai/mistral-large-2512,0.7,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:35:46.321526+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,mistralai/mistral-large-2512,1.0,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:35:46.379568+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T18:37:08.494984+00:00,0.6,0.5,0.5,0.75,0.5875,0.6,0.5,0.5,0.75,0.5875,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T18:39:44.360794+00:00,0.75,1.0,0.25,0.5,0.625,1.0,1.0,0.75,1.0,0.9375,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T18:41:45.604822+00:00,0.75,1.0,1.0,1.0,0.9375,0.875,1.0,0.5,0.75,0.7875,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,upstream_parse_error,2026-04-04T18:42:58.246114+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T18:45:06.380229+00:00,0.6,0.5,0.25,0.75,0.525,1.0,1.0,0.75,1.0,0.9375,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,mistralai/mistral-large-2512,0,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:45:06.531252+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,mistralai/mistral-large-2512,0.3,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:45:06.630685+00:00,,,,,,,,,,,,,,,,,,,,,
